Protein family,Layer,Correlation,P value
PF13377,0,0.4060050878374446,1.4651856450353829e-172
PF13377,1,0.43834188211327074,5.090038402552992e-204
PF13377,2,0.48843344794167626,5.072923677061216e-260
PF13377,3,0.4627892453901636,3.48674065454074e-230
PF13377,4,0.43520392649496026,8.17434279239453e-201
PF13377,5,0.37500934626160026,1.6439226324301112e-145
PF13377,6,0.35951672925727274,4.6959274254812096e-133
PF13377,7,0.37336154260454874,3.745602603946687e-144
PF13377,8,0.4151754799214574,3.9124338348184373e-181
PF13377,9,0.4608579193933448,4.8757120941693244e-228
PF13377,10,0.4814036184795459,1.378505902024388e-251
PF13377,11,0.4782396802142786,7.438948572817245e-248
