Protein family,Layer,Correlation,P value
PF10114,0,0.35349698862948875,0.0
PF10114,1,0.39786588943904283,0.0
PF10114,2,0.35998304509577267,0.0
PF10114,3,0.2995665428550302,0.0
PF10114,4,0.2458949702819381,0.0
PF10114,5,0.20011180318575375,0.0
PF10114,6,0.15691569635073616,3.7403169028378144e-208
PF10114,7,0.1019229393445911,2.4106278234750895e-88
PF10114,8,0.09526749844337755,2.2576355389162856e-77
PF10114,9,0.1055547535269038,1.1961480404644337e-94
PF10114,10,0.10524096840071308,4.2789310699736744e-94
PF10114,11,0.09775156305300911,2.2208005219965703e-81
