Protein family,Layer,Correlation,P value
PF00699,0,0.22482712355043294,0.0
PF00699,1,0.19637483952474977,0.0
PF00699,2,0.21614068959396843,0.0
PF00699,3,0.1970341630385074,0.0
PF00699,4,0.12224369393368283,5.698748011266953e-285
PF00699,5,0.06707125748366134,9.606110965721797e-87
PF00699,6,0.03769139718796226,1.48269009123695e-28
PF00699,7,0.028026188748424507,1.7049337993719801e-16
PF00699,8,0.022935659844277777,1.5421881327692783e-11
PF00699,9,0.023736107543873546,2.966588421565607e-12
PF00699,10,0.02244829607711754,4.096759019437963e-11
PF00699,11,0.026080633793789137,1.7347788093589928e-14
