Protein family,Layer,Correlation,P value
PF13377,0,0.18975194848982974,1.3541525443196296e-36
PF13377,1,0.1839182499798594,1.9081309342802599e-34
PF13377,2,0.20743333882747328,1.5151144031356761e-43
PF13377,3,0.2261075482255973,1.2903354829556686e-51
PF13377,4,0.20905975779140418,3.218165176900672e-44
PF13377,5,0.17733040183768503,4.1898380458236074e-32
PF13377,6,0.13559169786905306,2.5172503211312514e-19
PF13377,7,0.11760568153208176,6.873729868340721e-15
PF13377,8,0.0990855549005227,5.6052443922101395e-11
PF13377,9,0.09441256184576197,4.281866024474658e-10
PF13377,10,0.10121482673348318,2.1499274092410603e-11
PF13377,11,0.1251971255847468,1.1016094376825556e-16
