Protein family,Layer,Correlation,P value
PF13466,0,0.2062198777891036,2.2575577828366722e-29
PF13466,1,0.23875254077295482,4.476658170550896e-39
PF13466,2,0.21060191902503606,1.368961069554303e-30
PF13466,3,0.17386015203230162,3.183416314800228e-21
PF13466,4,0.15975881659768912,3.9899852466683024e-18
PF13466,5,0.13053887871602302,1.4797382177090072e-12
PF13466,6,0.10364292150879502,2.0299411836720365e-08
PF13466,7,0.08681095157377688,2.67068641321895e-06
PF13466,8,0.07093783788770125,0.00012616273029412704
PF13466,9,0.10340796775202031,2.1853959450980258e-08
PF13466,10,0.11152027789291108,1.5569177287833247e-09
PF13466,11,0.11331150841676732,8.464192435443552e-10
