Protein family,Layer,Correlation,P value
PF13466,0,0.39225961007651,7.127019949108738e-108
PF13466,1,0.42838309197013147,1.7700124780292153e-130
PF13466,2,0.43801665802055884,5.452870930451064e-137
PF13466,3,0.3478232274726305,1.078187068627994e-83
PF13466,4,0.2735270680282808,3.345597194494777e-51
PF13466,5,0.2550541187139577,1.5769837389741207e-44
PF13466,6,0.24661222450317824,1.1804588705503793e-41
PF13466,7,0.2544311051627995,2.5921934320381865e-44
PF13466,8,0.28990301893479026,1.4363887853657638e-57
PF13466,9,0.33050466128533457,2.85338999314292e-75
PF13466,10,0.34166325283644045,1.231497816797519e-80
PF13466,11,0.35339882083399754,1.603637815350307e-86
