Protein family,Layer,Correlation,P value
PF06427,0,0.13905958558909495,5.063394177864552e-104
PF06427,1,0.1285046488754614,5.490313137418055e-89
PF06427,2,0.1361502423550046,9.35355582849947e-100
PF06427,3,0.09566005212981088,5.93689598578393e-50
PF06427,4,0.060473717528034376,6.502535942051706e-21
PF06427,5,0.03962049375516978,8.084019620408868e-10
PF06427,6,0.03331225969369456,2.409989067563382e-07
PF06427,7,0.02132846333640313,0.000945989660157287
PF06427,8,0.015074913886799294,0.019458803885846657
PF06427,9,0.00774488959202404,0.22997881634500153
PF06427,10,-0.004795383068854783,0.4573303519081424
PF06427,11,-0.014421334617166314,0.025397214529974566
