Protein family,Layer,Correlation,P value
PF03147,0,0.0022088106520301728,0.832093522971114
PF03147,1,0.04250684707242789,4.465966593537362e-05
PF03147,2,-0.006968533093563389,0.5035614673747797
PF03147,3,0.06722195320231807,1.0488342104104594e-10
PF03147,4,0.12275767810823526,2.800728213637753e-32
PF03147,5,0.15355904682676272,9.701546299896043e-50
PF03147,6,0.1382883363423863,1.391288038487305e-40
PF03147,7,0.09729822202870711,7.855278100642881e-21
PF03147,8,0.058935962697111564,1.4961299738809027e-08
PF03147,9,0.0817791701816229,3.753174352199912e-15
PF03147,10,0.10350477756555018,2.2379936483924882e-23
PF03147,11,0.15015171566509045,1.3058238485551378e-47
