Protein family,Layer,Correlation,P value
PF00699,0,0.21558268867925215,0.0
PF00699,1,0.1830261489591523,0.0
PF00699,2,0.18549151560236793,0.0
PF00699,3,0.16077624043082664,0.0
PF00699,4,0.10280994521027562,9.550601414407112e-202
PF00699,5,0.04419395072017271,1.236549487773304e-38
PF00699,6,0.02927549505639957,7.38833905526925e-18
PF00699,7,0.023276009387238325,7.70254157967253e-12
PF00699,8,0.017065367015749833,5.234529116407236e-07
PF00699,9,0.018553778152833354,4.8917364751729536e-08
PF00699,10,0.025192988343756644,1.2840490087736059e-13
PF00699,11,0.02442148159645361,6.926279634598584e-13
