Protein family,Layer,Correlation,P value
PF13377,0,0.4052080767817822,7.913988309315869e-172
PF13377,1,0.43634462979936023,5.636692218138976e-202
PF13377,2,0.4806100530955819,1.199975639347286e-250
PF13377,3,0.4472137567460942,2.8726922555876868e-213
PF13377,4,0.42073627294105553,1.826415106129444e-186
PF13377,5,0.33144432447372596,3.4431996714332443e-112
PF13377,6,0.3036846526555596,1.3131401737379868e-93
PF13377,7,0.3051412938841476,1.556453918548324e-94
PF13377,8,0.35663806771233714,8.147179866550299e-131
PF13377,9,0.4049822504992324,1.27520492684745e-171
PF13377,10,0.4359362465223888,1.470076223772819e-201
PF13377,11,0.43967228820329535,2.1743902959861393e-205
