Protein family,Layer,Correlation,P value
PF06427,0,0.16873380387277376,6.430623162519722e-153
PF06427,1,0.16861048228938527,1.0763209499041088e-152
PF06427,2,0.19050662480308098,3.872453140574191e-195
PF06427,3,0.13402549837341754,1.0666297949297678e-96
PF06427,4,0.10196749873769194,1.5112684861712284e-56
PF06427,5,0.06239814336330594,3.6441776309348775e-22
PF06427,6,0.03895894879804725,1.5352695686759177e-09
PF06427,7,0.03616916653960819,2.0495740617015496e-08
PF06427,8,0.027118777587559505,2.6227960662207052e-05
PF06427,9,0.028329475649975004,1.1245662745334347e-05
PF06427,10,0.03592219692338923,2.5554732721409723e-08
PF06427,11,0.04446565599751889,5.377834364615066e-12
