Protein family,Layer,Correlation,P value
PF07498,0,0.0350807827599481,0.0002631577322530799
PF07498,1,0.027361104184635797,0.004430575663208864
PF07498,2,0.040002885332198014,3.16184950192095e-05
PF07498,3,0.029750971750074632,0.00197192540048058
PF07498,4,0.000385909507557143,0.9679895230263903
PF07498,5,-0.019194192598759107,0.04591768573387065
PF07498,6,-0.019742969197092567,0.04005012177749684
PF07498,7,-0.015062532383749374,0.1172523892573131
PF07498,8,-0.014041045042742221,0.1442428398530895
PF07498,9,-0.009456211894310548,0.32543306539235717
PF07498,10,-0.015917850647605442,0.09784946672850996
PF07498,11,-0.01694437945264398,0.07804593562766352
