Protein family,Layer,Correlation,P value
PF00066,0,0.2580986012470758,3.905810468872086e-164
PF00066,1,0.1878488190748733,1.7794917865896272e-86
PF00066,2,0.1551089162975298,3.2094663936912553e-59
PF00066,3,0.18607343234854803,7.408867842862901e-85
PF00066,4,0.2020355946966897,5.205382748736316e-100
PF00066,5,0.15967448280295526,1.0799151641628017e-62
PF00066,6,0.11027758217489922,1.2794205937353783e-30
PF00066,7,0.12212448613613004,3.2307538979951925e-37
PF00066,8,0.11857659131040842,3.6039201398624127e-35
PF00066,9,0.1366812684600844,2.9046625231373252e-46
PF00066,10,0.1649536897248968,7.692859088718017e-67
PF00066,11,0.19208291839244768,2.0974801091860335e-90
